owneruserid,reputation,userviews,creationdate
"5","48906","13265","2008-07-31 14:22:31"
"43","2775","436","2008-08-01 13:02:27"
"50","9677","1820","2008-08-01 13:29:54"
"72","30373","1674","2008-08-01 15:09:58"
"164","13991","4943","2008-08-02 20:59:47"
"198","16467","1366","2008-08-03 12:18:28"
"204","13880","586","2008-08-03 13:27:56"
"292","26047","1047","2008-08-04 13:14:31"
"327","17310","735","2008-08-04 17:08:49"
"337","43336","1485","2008-08-04 18:11:42"
"366","4124","239","2008-08-05 06:49:49"
"381","13709","730","2008-08-05 10:39:26"
"392","86712","3986","2008-08-05 12:29:07"
"399","3540","264","2008-08-05 13:08:21"
"425","6655","552","2008-08-05 15:31:37"
"426","6957","2153","2008-08-05 15:31:51"
"549","24091","1422","2008-08-06 16:20:06"
"576","4576","294","2008-08-06 21:34:52"
"616","1205","230","2008-08-07 11:16:13"
"636","14262","1522","2008-08-07 12:32:33"
"673","3366","329","2008-08-07 16:33:05"
"681","10539","562","2008-08-07 17:38:09"
"684","368","151","2008-08-07 19:09:32"
"722","16133","1402","2008-08-08 11:37:05"
"744","1277","117","2008-08-08 13:43:38"
"745","147838","4983","2008-08-08 13:47:26"
"755","15603","601","2008-08-08 15:28:16"
"781","27002","1602","2008-08-08 21:28:19"
"993","8848","1514","2008-08-11 12:24:17"
"1074","3207","275","2008-08-12 10:11:09"
"1114","1","22733","2008-08-12 12:54:42"
"1142","6140","632","2008-08-12 18:52:53"
"1212","3922","484","2008-08-13 13:17:40"
"1219","34720","2122","2008-08-13 13:44:47"
"1265","11760","915","2008-08-14 05:20:45"
"1375","6307","282","2008-08-14 21:41:25"
"1397","607","84","2008-08-15 05:11:17"
"1406","8093","1024","2008-08-15 12:26:06"
"1432","25767","1854","2008-08-15 15:33:54"
"1492","7499","1077","2008-08-15 21:46:00"
"1544","2930","335","2008-08-16 14:15:09"
"1580","3265","417","2008-08-16 20:34:26"
"1583","450237","54202","2008-08-16 20:54:12"
"1599","8007","808","2008-08-17 13:39:55"
"1633","4665","491","2008-08-17 17:30:24"
"1738","12221","1451","2008-08-18 11:32:29"
"1768","15732","1427","2008-08-18 13:32:15"
"1769","6972","492","2008-08-18 13:35:40"
"1796","18281","3860","2008-08-18 15:42:29"
"1801","13995","1009","2008-08-18 16:01:48"
"1865","21922","458","2008-08-19 00:17:22"
"1897","71348","2866","2008-08-19 07:54:49"
"1942","104669","4898","2008-08-19 14:45:43"
"1996","10332","1191","2008-08-19 18:26:25"
"2018","11510","561","2008-08-19 20:14:45"
"2019","1719","73","2008-08-19 20:18:31"
"2038","10010","560","2008-08-19 22:16:35"
"2208","4437","620","2008-08-20 22:18:12"
"2238","61865","1493","2008-08-21 05:51:27"
"2374","2379","180","2008-08-21 22:14:30"
"2443","83342","4992","2008-08-22 10:53:30"
"2452","3478","229","2008-08-22 11:19:16"
"2525","50861","7011","2008-08-22 16:18:42"
"2527","6544","752","2008-08-22 16:35:28"
"2535","19329","1705","2008-08-22 17:36:15"
"2635","83523","7460","2008-08-23 19:46:51"
"2653","16708","1326","2008-08-23 23:43:40"
"2715","2703","457","2008-08-24 16:57:35"
"2720","2974","343","2008-08-24 17:15:55"
"2892","20507","823","2008-08-25 19:39:36"
"3030","2699","334","2008-08-26 12:41:34"
"3048","257","146","2008-08-26 13:36:49"
"3056","10420","537","2008-08-26 13:54:57"
"3139","825","115","2008-08-26 23:51:47"
"3154","6421","218","2008-08-27 02:48:03"
"3262","6255","223","2008-08-27 15:30:29"
"3276","3222","102","2008-08-27 16:22:08"
"3401","3965","344","2008-08-28 13:04:02"
"3415","23254","1513","2008-08-28 13:44:19"
"3421","22675","863","2008-08-28 14:25:39"
"3474","242013","20837","2008-08-28 17:28:46"
"3485","12085","1324","2008-08-28 18:14:08"
"3546","22826","2057","2008-08-29 04:36:13"
"3560","176932","5481","2008-08-29 05:20:51"
"3713","108798","4087","2008-08-30 09:06:27"
"3747","32770","1082","2008-08-30 14:33:59"
