id,owner_user_id
"2970","58"
"5078","318"
"8451","716"
"8472","1"
"17670","379"
"30800","2701"
"32333","1190"
"32412","2577"
"32964","1438"
"38875","2644"
"42833","4464"
"44799","1931"
"50769",""
"54096","1212"
"54889","5471"
"54991","231"
"55218","5441"
"55296","2385"
"58679","994"
"64059","2577"
"64469","8482"
"65734","9328"
"65879","4916"
"72304","4893"
"78599",""
"86090","4913"
"87371","16398"
"90413","6946"
"92456","17647"
"97984","18359"
"103177",""
"104592","83"
"107566","16417"
"108088","3150"
"109997","15497"
"110123","10352"
"111248","572"
"115503","7867"
"116684","16398"
"121504","7450"
"125438","1865"
"127363","21002"
"127638","12529"
"129677","10680"
"133549","22180"
"136065","3153"
"136798","19306"
"137392","720"
"141203","2258"
"141428","4276"
"141484","2701"
"142722","2915"
"146839","1467"
"149848","23528"
"150923","13666"
"153416","17749"
"154430","8220"
"155220","23918"
"164268","3797"
"167252","21002"
"168946","24995"
"170606",""
"171237","21406"
"173875","9629"
"174387","905"
"177804","999420"
"178210","681"
"181130","26004"
"186106",""
"187655","392"
"188266","3446"
"192268","26902"
"192811",""
"197357","1284"
"197621","5058"
"201796","3856"
"205923","905"
"206276","27765"
"206318","17337"
"207819","380"
"209927","24531"
"210296","21828"
"215131","20227"
"217547","29345"
"220077","525"
"225838","354645"
"229624","2932"
"231204","3349"
"232895",""
"233217","23420"
"234253","7495"
"234871","1865"
"234872","24898"
"239063","15474"
"239979","1551"
"241282","13611"
"243646","32093"
"244152","14440"
"244283","4792"
"253673","26180"
"254935","33212"
"257015","22634"
"258625","11438"
"259663","578"
"262023","26685"
"262531",""
"262554","335036"
"268182","5055"
"272447","3241"
"273496","32462"
"273534","14045"
"273803","3747"
"275824","27805"
"277881","994"
"281891","1782"
"284500","21828"
"290405",""
"291941","572"
"295973","335036"
"301557","1737"
"301855","26465"
"302893","37723"
"303149","8435"
"304495","7301"
"306830","106"
"307047","30987"
"310929","5441"
"315171","8934"
"316367","39539"
"317652","999"
"319634","40807"
"320477","315650"
"323067","5193"
"326699","15055"
"326818","12597"
"330207","1390354"
"331901","18192"
"332365","39677"
"339312","38072"
"339603","29772"
"340129","41384"
"340820","446733"
"340984","3193"
"341290","13018"
"341981","22748"
"344280","1143"
"349668",""
"351354","36695"
"353609","44685"
"354161","335036"
"355883","44962"
"358772","200521"
"365095","17404"
"367870","29964"
"369981","10420"
"371928","42223"
"376519",""
"377901","33468"
"379276","39677"
"379941","489"
"384451","42404"
"393580","29345"
"394214","43980"
"406358",""
"407771","40376"
"409782","2035722"
"424210","24181"
"425221","9642"
"426888","15937"
"430599","53619"
"436715","24954"
"436760","3331"
"437061",""
"443151","15255"
"443487","53686"
"449922","31505"
"450732","132931"
"451288","53915"
"453908","44853"
"454048","2635"
"456837","195"
"459614","2754"
"463832","38403"
"464511","28158"
"465910","30006"
"466748","2993381"
"467150","3081"
"469733","39677"
"473806","18664"
"476640","1293123"
"477930","12178"
"481148","19212"
"483018","59300"
"484068","30006"
"489552","13051"
"492954","46064"
"494860","27657"
"496255","105"
"498234","17172"
"499062",""
"503220","60561"
"504167","18529"
"505606","24666"
"507669",""
"510170","2768"
"511907","55351"
"513330","2701"
"514307","19948"
"526438","5441"
"527768","46316"
"528405","58394"
"528858","57029"
"530972","27657"
"533082","5836"
"537103","22674"
"537596","64912"
"537930","3241"
"541219","30729"
"543096","6833"
"547219","13379"
"547501",""
"547545","57995"
"562250","31610"
"562350","41956"
"569870",""
"569871","20406"
"570944",""
"571081","24643"
"578313","30921"
"578588","2915"
"579850","31374"
"584050","208"
"585891",""
"587357","9922"
"587896","48729"
"588803","14966"
"591300",""
"591794","67494"
"596893","70160"
"597175","55747"
"598844","31671"
"603230",""
"604175","72980"
"604634","35203"
"604924",""
"606686","357"
"608112","38400"
"608387","50291"
"610080","48886"
"610229","58553"
"611808","58553"
"617714","40521"
"617782","74555"
"619880",""
"619921","74824"
"621189","62539"
"621649","32032"
"622646","57720"
"622978","42370"
"623159",""
"624386","169"
"627353","3291"
"628416","68473"
"633109","48654"
"633384","15245"
"634100","8446"
"636248","55747"
"637496","31379"
"638621","72442"
"639034","77265"
"639935","12747"
"641368","62383"
"645509","70211"
"646531","27247"
"648307","32775"
"649141","68385"
"651481","22216"
"651902","69986"
"652818","65400"
"652916","76465"
"656329","42139"
"659657","76799"
"661084",""
"662677","79693"
"667147","39268"
"671010","26721"
"673678","20126"
"674751","68602"
"674904","12716"
"678400","2238"
"679756",""
"681231","4504"
