id,owner_user_id
"549","136"
"3027","439"
"3385","384"
"3486","527"
"4004","525"
"8318","1054"
"18943","199"
"19471","260"
"20510","1638"
"20841","179"
"22519","2385"
"23961","2580"
"28369","3002"
"29175","3068"
"29357","657"
"30946","2147"
"34708","1931"
"38421","2362"
"42115","1889"
"46693","5548"
"50142","2596"
"55845","5203"
"56709","383"
"58621","3366"
"61622","886"
"68792",""
"69309","11019"
"69627","3740"
"73947","11911"
"76359","13320"
"87694",""
"93911","5569"
"95297","1694"
"96382","2041950"
"101362","18769"
"101427","11612"
"102496","11503"
"111451","19159"
"114052","7473"
"118374","10853"
"118910","10520"
"120380","15474"
"121123","27870"
"121493","21002"
"123976","1408"
"129629","16684"
"131017",""
"132113",""
"132134","950778"
"133393","22114"
"138432","3122"
"144324","419"
"153329","9825"
"166340","23447"
"166508","24789"
"166639","24805"
"167917","7028"
"170844","1311500"
"172392","2260"
"174131","10080"
"174225","24873"
"174348","21030"
"177331","21963"
"177560","22114"
"182258","7122"
"186789","18770"
"190461","366094"
"190771","24507"
"194358",""
"194869","71994"
"196244","15168"
"201505","27877"
"202011","3291"
"205887","28118"
"206438","826"
"208007","28528"
"209242","13959"
"211263","22582"
"211895","3535708"
"215498","28076"
"221040","28207"
"223395",""
"224049","30187"
"224272","2233"
"226637","2357"
"229596",""
"230321","18658"
"230994","28565"
"232228","28714"
"237816","31574"
"239194",""
"239262","1982"
"240713","7072"
"243426","9114"
"243744",""
"252665",""
"252974","30056"
"253545","5552"
"259897","578"
"260236",""
"260327","335036"
"265180",""
"265579","12597"
"273452",""
"274533","34623"
"274659","22459"
"275444","9328"
"277044","943"
"277100","697"
"279693","24622"
"281068",""
"281618",""
"282762","4636"
"290236","335036"
"291294","2706"
"292967","37450"
"295825","1830329"
"297850",""
"300268","9266"
"300334",""
"302936","34133"
"304086","37193"
"304284","37193"
"306489","32247"
"307495",""
"307722","39542"
"308609","6992"
"311064","3892"
"311389",""
"313859","10644"
"318069","19471"
"320923","39677"
"322262","38734"
"323245",""
"324904",""
"327499","23066"
"332872","9021"
"337663","41384"
"339180","31671"
"341966","42987"
"343366","39722"
"347088",""
"348589","6852"
"350177","26004"
"350299","3041"
"352172","44260"
"354021","1456"
"354068","28540"
"355418",""
"357567","459737"
"358967","20520"
"359342","31516"
"360625",""
"365309","44010"
"366647","28454"
"369291","5789"
"369312","25718"
"372268","18103"
"372383","11917"
"372980","15168"
"378848","16124"
"379319","5287"
"379445","47466"
"382464","10420"
"384725","43734"
"386386",""
"388985","40214"
"390677","6258"
"392928","47341"
"393882","14749"
"395652","18393"
"401656","32775"
"402936","50111"
"406179","50819"
"408431","37450"
"410150","18393"
"412753","12318"
"414034","20074"
"415310","15377"
"419288","43058"
"419563",""
"426463",""
"427821","52063"
"429352","2567"
"429998","5287"
"432291",""
"435408","1190"
"435912","737"
"441777",""
"442594","36131"
"442898","8741"
"442923","3002"
"445177","1574"
"446467","1246613"
"447638","39709"
"447785","50947"
"449497","17675"
"449650","55750"
"452664",""
"455220",""
"455234","41860"
"456546","18511"
"457307","46279"
"457727","56697"
"461800","55402"
"463768","38403"
"471800","48729"
"474698","144"
"476576","58386"
"483197","14072"
"488804","59351"
"489119","51649"
"494211","21981"
"502001","53605"
"503666","20553"
"506939","61906"
"507753","14302"
"513056","36330"
"516438","62935"
