Topic ID,Category,Sub-Category,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,Development,Implementation,101,166989.0,210.0,55.0,186.0,7.662567695066741,48.0,15039.105833333335,0.4224542559427137,42.154196996766345
TOPIC 1,Authentication,Tokens,147,178947.0,171.0,45.0,288.0,5.398387418247512,44.0,2634.6511111111113,0.3827719323311543,28.43692038705699
TOPIC 2,Authentication,Login,94,349125.0,172.0,47.0,173.0,8.892737761566083,61.0,38132.39416666667,0.4853263482533091,49.4712337010492
TOPIC 3,Development,Implementation,92,426774.0,463.0,68.0,233.0,14.458495933847637,55.0,34226.7163888889,0.6641225225381476,44.175423506011406
TOPIC 4,Development,Implementation,76,77636.0,77.0,32.0,94.0,4.818305525243434,34.0,918.6975,0.35644533030798575,17.926882010528924
TOPIC 5,Network Security,Exploits,81,475195.0,407.0,83.0,145.0,15.249059980260867,49.0,2586.358888888889,0.3681043407190062,22.646561072928826
TOPIC 6,Development,Implementation,98,201265.0,315.0,80.0,150.0,9.529913060383713,59.0,25148.39777777778,0.85022052638919,36.625559389361975
TOPIC 7,Authentication,Login,167,216447.0,187.0,40.0,306.0,5.023740265098465,62.0,25397.191111111115,0.7395739978605816,45.22476078087889
-,Security,Security,856.0,2092378.0,2002.0,450.0,1575.0,8.623340955057543,412.0,144083.5127777778,4.269019254342089,41.23704858092587
-,General,General,856,1427940.0,1603.0,303.0,1475.0,6.606870098286805,449.0,140978.88194444444,4.812904717275666,38.222997374369605
