id,ParentId,owneruserid,score
"2528","2525","26","18"
"2541","2525","428","23"
"2973","2970","92","3"
"2976","2970","204","14"
"2978","2970","419","2"
"3055","2970","116","5"
"4573","2525","608","10"
"5083","2525","536","50"
"5448","2970","71","14"
"8739","2525","905","44"
"10734","10731","493","1"
"10745","10731","116","1"
"10764","10731","528","0"
"10766","10731","1265","3"
"10779","10731","893","1"
"10820","10731","5","10"
"13221","2970","1407","-1"
"21096","2525","1365","2"
"21969","21965","2257","4"
"21985","21965","2005","1"
"21989","21965","1111","0"
"21991","21965","2429","13"
"22990","2525","1929","9"
"23110","23102","429","28"
"23112","23102","1975282","0"
"23116","23102","832","10"
"23119","23102","2293","0"
"23122","23102","1063","1"
"23128","23102","1862","0"
"23135","23102","2213","3"
"23140","23102","1433","0"
"23206","23102","204","29"
"23929","23713","1327","1"
"24103","23102","1897","0"
"24142","23102","1693","3"
"28967","28965","3018","1"
"28972","28965","1992","1"
"28978","28965","2025","2"
"29084","28965","3052","12"
"29102","28965","3111","1"
"29163","28965","1750","6"
"30214","28965","2974","1"
"32471","32333","1695","1"
"33611","32333","2988","9"
"33648","32333","234","4"
"33900","32333","1190","1"
"34901","34896","2894","0"
"34902","34896","3641","18"
"34903","34896","2993","0"
"34905","34896","1797","1"
"34906","34896","770","1"
"34919","34896","1484","1"
"34923","34896","71","1"
"34984","34896","1806","3"
"35096","34896","1438","2"
"35138","34896","3674","5"
"36088","34896","1862","12"
"36304","36296","122","2"
"36383","36296","2391","3"
"36505","36296","536","0"
"36830","36296","267","0"
"38848","38846","1554","6"
"38853","38846","3474","21"
"38863","38846","3153","0"
"39797","39772","2095","6"
"39806","39772","3583","-1"
"39812","39772","115","4"
"39815","39772","834","1"
"41183","41169","1249","6"
"41186","41169","811","3"
"41322","39772","2095","1"
"43996","43992","1902010","0"
"44021","43992","648","1"
"44650","43992","914","3"
"44807","44799","533","5"
"44813","44799","122","0"
"44823","44799","1736623","0"
"44832","44799","1736623","0"
"44840","44799","3055","2"
"47965","23102","2915","34"
"48832","44799","1697","2"
"50977","43992","744","1"
"51099","51094","1862","2"
"51575","51094","3720","2"
"52037","43992","5421","3"
"52640","51094","1117","236"
"52736","51094","","22"
"55368","23102","5674","10"
"55374","2525","5674","3"
"55595","55572","1659","1"
"55599","55572","2041","3"
"55605","55572","149","1"
"55659","55572","4337","1"
"56355","2525","5744","4"
"58684","58679","5932","1"
"58685","58679","994","1"
"60758","60757","1768","0"
"60759","60757","341","2"
"60767","60757","2600","5"
"60787","60757","4186","3"
"60864","60757","6093","4"
"60917","60757","2695","0"
"60938","60757","1821","0"
"61204","60757","3","3"
"64521","64469","1390","10"
"64526","64469","8114","0"
"64600","64469","1559","0"
"65802","65734","2257","4"
"65808","65734","9403","7"
"65851","65734","3560","2"
"65894","65879","8871","25"
"65919","65734","3560","0"
"65930","65879","","9"
"65987","65879","1806","2"
"66026","65879","8298","0"
"66259","65879","4615","5"
"66390","38846","8871","0"
"70184","70170","184","0"
"70186","70170","6282","5"
"70189","70170","598","2"
"70390","28965","9128","2"
"70433","28965","5468","1"
"70469","70170","10980","4"
"71288","2525","7793","3"
"71769","71756","6528","15"
"71780","71756","9581","2"
"71782","71756","3267","0"
"71783","71756","8562","1"
"71784","71756","11347","23"
"71830","71756","2083160","0"
"71904","71756","6898","1"
"71943","71756","11670","6"
"71992","71756","3043","2"
"72311","72166","12234","1"
"72367","72166","12092","0"
"72385","72166","2455","0"
"72398","71756","12222","3"
"72452","71756","12253","0"
"72476","71756","11492","6"
"74513","72166","5674","68"
"74605","60757","12657","4"
"74668","72166","10080","4"
"74918","71756","","0"
"75030","72166","2017","-2"
"75725","70170","13189","0"
"76233","76210","9450","3"
"76255","76210","8435","1"
"76270","76210","721","2"
"76271","76210","13276","0"
"76332","76210","3267","0"
"76345","76210","5806","5"
"82238","72166","15623","2"
"87443","87431","12624","2"
"87515","87431","15614","0"
"87525","87431","8435","2"
"87528","87431","4396","0"
"97629","97614","1786","9"
"98020","97984","14979","40"
"98021","97984","11318","241"
"98023","97984","15578","6"
"98042","97984","11078","5"
"98046","97984","12038","5"
"98048","97984","3720","8"
"98120","97984","8427","8"
"99046","99001","10991","5"
"99052","99001","10292","4"
"99055","99001","1199387","2"
"101696","97984","9951","4"
"101843","97984","7819","36"
"104790","97984","19165","11"
"105509","87431","16398","0"
"107572","107566","5342","3"
"107573","107566","11981","0"
"107574","107566","13724","8"
"107576","107566","15075","0"
"107579","107566","908","1"
"107587","107566","12702","3"
"107935","107566","15614","14"
"107990","107566","1265","4"
"108093","108088","4337","10"
"108119","108088","4358","11"
"109438","97984","10080","3"
"110576","110575","1820","241"
"110596","110575","13724","10"
"111555","107566","20004","5"
"113100","113090","380","0"
"113101","113090","4853","2"
"113107","113090","6449","5"
"113117","113090","17661","0"
"113232","113090","18914","0"
"113430","113423","11621","13"
"113431","113423","372","9"
"113432","113423","2994","12"
"113435","113423","492","4"
"113439","113423","16509","2"
"113441","113423","11215","6"
"113444","113423","","2"
"113449","113423","14455","5"
"113474","113423","12213","3"
"113476","113423","14971","2"
"113522","113423","15118","5"
"113533","113423","11181","2"
"113536","113423","11694","3"
"113575","113423","2725","2"
"113671","113423","20265","2"
"113792","113423","","0"
"113825","113423","9077","1"
"115540","115503","7867","2"
"116237","110575","20579","3"
"116247","115503","19629","0"
"116305","110575","6726","2"
"116459","116415","20382","0"
"116473","116415","8136","3"
"116474","116415","9425","0"
"116478","116415","4203","0"
"116520","116415","20634","3"
"117136","117129","307","3"
"117568","116415","9925","2"
"118449","117129","1574","6"
"119136","117129","14814","7"
"120153","120116","2429","12"
"120202","120189","20261","2"
"120204","120189","12124","3"
"120205","120189","2859","0"
"120230","120116","19546","0"
"121262","120189","20486","1"
"122066","120189","9573","2"
"122307","121504","3937","3"
"124862","117129","2676","1"
"125444","125438","12707","0"
"125445","125438","14977","1"
"125447","125438","2915","2"
"125452","125438","14057","0"
"125459","125438","525","1"
"125561","125438","809","0"
"125644","120189","9128","0"
"127067","117129","3381","2"
"127243","121504","1533","3"
"127559","127363","1544","0"
"128091","125438","19998","6"
"128290","125438","15296","1"
"130594","130585","10680","4"
"130600","130585","3560","1"
"130629","130585","20750","1"
"130936","130585","14897","0"
"130970","130585","21450","0"
"131911","131902","4853","18"
