id,view_count
"549","610420"
"3027","2187"
"3486","1793"
"4004","19363"
"18943","9221"
"19471","575"
"22519","4590"
"28369","3104"
"29175","2725"
"29357","587"
"30946","8424"
"38421","13813"
"42115","11559"
"46693","1454"
"50142","7561"
"55845","338"
"56709","14021"
"58621","77107"
"61622","1857"
"66870","20697"
"69309","4082"
"69627","1097"
"76359","6938"
"87694","1545"
"95297","2547"
"96382","2594"
"101362","17494"
"101427","26419"
"102496","6907"
"111451","796"
"114052","1657"
"117352","1043"
"118374","4644"
"118910","6739"
"121123","1289"
"121493","3016"
"123976","26284"
"129629","2551"
"131017","1280"
"132113","1910"
"132134","549"
"133393","17280"
"133546","4013"
"138432","1041"
"144324","159"
"153329","594"
"166340","73571"
"166508","172"
"167917","1864"
"169334","1952"
"174131","3665"
"174225","26261"
"174348","91967"
"177560","1136"
"182258","2985"
"186789","1537"
"186932","946"
"190461","2143"
"190771","15798"
"194869","1019"
"195509","2143"
"196244","369"
"201505","3235"
"205887","463"
"206438","16505"
"208007","3570"
"209242","12012"
"211263","184"
"211895","44440"
"215302","3046"
"215498","411"
"221040","367"
"223395","5614"
"224049","1657"
"229596","302"
"230321","873"
"230994","1385"
"232228","11169"
"237816","18218"
"239194","25354"
"239262","57969"
"240713","44390"
"243426","615"
"243744","1205"
"245600","20297"
"252974","1613"
"253545","282"
"259897","24485"
"260236","20578"
"260327","193"
"265180","110"
"265579","2376"
"273452","371551"
"274533","628"
"274659","11268"
"275444","1317"
"277044","32998"
"277100","1545"
"278651","991"
"281068","4460"
"281618","1329"
"282762","1497"
"288287","809"
"290236","1015"
"291294","2114"
"292967","329"
"295825","254"
"297850","3020"
"300268","2531"
"300334","12712"
"301855","353"
"302914","120813"
"302936","405"
"304086","2213"
"304284","1617"
"307495","10394"
"307722","1206"
"308609","10558"
"311064","8167"
"311389","3032"
"313859","5210"
"318069","4095"
"320923","6419"
"322262","597"
"323245","5592"
"324904","328"
"327499","1807"
"339180","2898"
"341966","629"
"342409","295548"
"343366","1313"
"347088","1478"
"348589","1174"
"350177","4789"
"350299","6435"
"352172","682"
"354068","1539"
"355418","1063"
"357567","598"
"358967","2561"
"359342","12941"
"360625","815"
"365309","11139"
"369291","646"
"369312","363"
"372268","15764"
"372383","1558"
"372980","11875"
"379319","310"
"379445","285"
"386386","2344"
"387104","8527"
"388985","765"
"392928","5309"
"393882","5448"
"395652","2078"
"401656","222455"
"402936","7230"
"406179","635"
"408431","11294"
"410150","831"
"412753","45335"
"414034","8721"
"415310","774"
"419288","103"
"419563","17854"
"426463","6885"
"427821","12232"
"429352","505"
"429998","416"
"432291","2678"
"435912","4700"
"441777","574"
"442898","411"
"442923","124566"
"447638","10078"
"447785","1056"
"449497","3894"
"449650","5455"
"452664","1308"
"455220","1465"
"456546","5115"
"457307","4158"
"457727","494"
"461800","9058"
"463768","591"
"471800","14356"
"474698","6413"
"476576","1164"
"477053","1448"
"483018","792"
"488804","21727"
"494211","8469"
"502001","148"
"506939","1695"
"513056","5350"
"516438","517"
"518548","33843"
"520266","13201"
"522967","18644"
"525734","4675"
"527973","5199"
"528938","7048"
"533200","1702"
"536328","2017"
"538435","16062"
"540738","576"
"544463","7389"
"545172","1326"
"545179","420"
"545294","22758"
"550908","1780"
"551480","4086"
"552681","2747"
"556194","41111"
"563805","1063"
"568995","14834"
"570755","1230"
"585358","2553"
"590375","498"
"591794","1531"
"593952","11752"
"595114","24286"
"599535","12763"
"601300","36891"
"601995","7448"
"602625","969"
"604210","62651"
"604792","708"
"606324","5320"
"613962","28185"
"615704","12084"
"623299","4332"
"624012","2074"
"626303","1483"
"630670","1507"
"631661","4430"
"636912","681"
"637727","4818"
"639051","223"
"639217","2840"
"639845","629"
"641545","1108"
"643355","79753"
"646086","9479"
"651713","1430"
"652851","3306"
"654239","579"
"655691","2318"
"656787","262"
"659197","20390"
"659737","3829"
"659970","96008"
"660175","1969"
"661185","912"
"661426","821"
"661534","1162"
"661599","22685"
"661819","1748"
"663890","33672"
"675119","1047"
"681530","1146"
"681991","3250"
"682306","409"
"683568","1014"
"690566","14143"
"691223","364"
"696472","28538"
"696483","96"
"696741","332"
"701078","34027"
"703963","1104"
"708096","3492"
"710834","4190"
"711018","83"
"712339","11014"
"715096","1144"
"715264","690"
"721446","10620"
"723129","5804"
"723653","39809"
"724195","239"
"724950","639"
"728143","157188"
"728531","2118"
"728706","531"
"732991","731"
"733435","1017"
"733463","1382"
"734887","254"
"740679","259"
"742089","14713"
"743939","48212"
"744050","7578"
"745083","1550"
"748622","40337"
"750919","246"
"752770","658"
"754118","628"
"755994","2015"
"756492","57138"
"763572","989"
"764565","706"
"764833","2564"
"767978","5483"
"770195","546"
"770635","7820"
"772858","8801"
"774925","13865"
"776579","12522"
"778476","1001"
"781312","598"
"784848","157"
"785182","3495"
"789599","197"
"790232","18520"
"791694","728"
"793932","368"
"795717","13315"
"795888","393"
"796934","3013"
"799932","10015"
"800685","69986"
"802459","460"
"804155","573"
"804969","3345"
"806131","48062"
"808748","5405"
"820334","655"
"823746","5169"
"824215","373"
"826323","987"
"827016","1034"
"828172","12153"
"829838","2522"
"830074","18782"
"834932","1568"
"835124","6809"
"839280","8685"
"840537","36771"
"845344","1379"
"848788","1910"
"852297","430"
"855302","5369"
"855394","4832"
"858232","9474"
"861221","780"
"861911","16151"
"869089","3079"
"870019","27001"
"870648","5209"
"871332","1621"
"872929","2998"
"874634","21420"
"876557","4798"
"877562","1272"
"878520","791"
"881734","7693"
"884207","5686"
"885439","1922"
"886893","2498"
"893959","39255"
"895739","4206"
"897157","609"
"897293","8290"
"898175","1609"
"898683","9476"
"903650","1294"
"904346","1821"
"904760","329"
"912761","179"
"914509","3453"
"918408","1218"
"919983","3539"
"920542","898"
"925086","1122"
"926137","24480"
"929433","618"
"932910","126"
"933883","9604"
"934171","3588"
"934213","2463"
"936253","2140"
"938897","606"
"938920","2044"
"939040","12015"
"941837","287"
"944162","1445"
"946019","313"
"949727","21137"
"951487","4816"
"955975","1941"
"956639","2328"
"964261","507"
"967497","3453"
"968064","2437"
"970569","1630"
"977007","567"
"978350","7617"
"980720","6162"
"981704","2513"
"982682","9339"
"983896","1095"
"983964","90910"
"984633","8240"
"985074","2544"
"992408","14112"
"992704","367"
"995501","472"
"1002952","863"
"1003960","237"
"1006120","448"
"1006674","3102"
"1006841","2073"
"1007066","974"
"1007308","2509"
"1007337","42327"
"1013200","239"
"1014593","12546"
"1019707","6538"
"1021909","2142"
"1024073","3917"
"1024730","1635"
"1026855","74550"
"1027138","525"
"1027693","1082"
"1029293","1523"
"1033766","195"
"1037250","2225"
"1038904","155"
"1040465","5883"
"1040724","4643"
"1042692","847"
"1043271","2051"
"1048439","2923"
"1048549","493"
"1050729","270"
"1052184","13464"
"1056190","633"
"1057501","2885"
"1057871","293"
"1058071","873"
"1058680","630"
"1061134","9013"
"1062589","6419"
"1064203","1818"
"1066976","2202"
"1070486","250"
"1070835","496"
"1072497","578"
"1072540","13392"
"1074542","231"
"1077466","868"
"1078397","547"
"1079131","6715"
"1081976","539"
"1082386","277"
"1084410","582"
"1089896","246"
"1090615","211"
"1091106","5030"
"1093532","9329"
"1096400","3215"
"1098452","590"
"1099547","1614"
"1103203","242"
"1103262","3651"
"1105818","169"
"1111517","7287"
"1113405","5818"
"1114103","191"
"1115832","183"
"1116101","870"
"1123138","2351"
"1126684","19928"
"1128789","1691"
"1128950","629"
"1130296","6712"
"1137830","903"
"1139021","712"
"1139137","5437"
"1139489","5416"
"1139622","8801"
"1145164","331"
"1149191","17694"
"1149932","2455"
"1152872","6284"
"1160924","2434"
"1161157","14912"
"1163985","9703"
"1168552","733"
"1170738","3484"
"1171207","5919"
"1177285","189"
"1182584","35106"
"1186251","705"
"1188732","1941"
"1191822","7494"
"1192485","1184"
"1193578","2249"
"1196418","14436"
"1197888","186"
"1198080","216"
"1198900","1436"
"1201048","107656"
"1203046","1506"
"1203120","898"
"1213224","118"
"1215556","705"
"1215570","1041"
"1218093","3929"
"1219899","73063"
"1226406","2849"
"1231735","646"
"1238023","424"
"1240851","824"
"1243971","3324"
"1249413","1494"
"1253994","242"
"1255996","8580"
"1257812","3005"
"1262081","21435"
"1262331","4969"
"1263750","1337"
"1263976","194"
"1274105","338"
"1275526","1713"
"1277276","2183"
"1278099","739"
"1278974","10598"
"1280702","19278"
"1281102","12779"
"1282243","417"
"1283594","16430"
"1286578","1946"
"1287180","5662"
"1287620","1327"
"1289061","286925"
"1293950","114223"
"1298450","253"
"1299845","605"
"1301980","276"
"1305354","139"
"1306823","5291"
"1306942","14336"
"1315604","1374"
"1320345","4441"
"1323337","4004"
"1324098","134"
"1325378","11723"
"1327690","473"
"1329285","411"
"1329730","1528"
"1331792","282"
"1334651","90"
"1338546","1142"
"1338972","874"
"1345691","808"
"1346070","7583"
"1350516","8893"
"1354665","1310"
"1356102","7302"
"1357569","4565"
"1362262","583"
"1364262","5145"
"1364487","478"
"1366182","1804"
"1372623","559"
"1378463","267"
"1379907","716"
"1387193","955"
"1391692","36586"
"1392074","483"
"1393514","2155"
"1394616","1394"
"1394916","4057"
"1395260","1914"
"1396688","4024"
"1402696","4197"
"1404381","1697"
"1405637","239"
"1408492","550"
"1412193","2094"
"1418846","2489"
"1419800","2193"
"1422154","1257"
"1424205","1035"
"1426984","907"
"1427908","230"
"1428341","935"
"1430095","397"
"1432664","35036"
"1436383","452"
"1442330","108"
"1442538","2310"
"1443411","105"
"1446285","1630"
"1448455","59011"
"1451067","91"
"1452527","467"
"1453073","154771"
"1461272","2449"
"1462284","34802"
"1463182","166"
"1465638","2282"
"1466011","892"
"1468943","1321"
"1469899","74613"
"1471654","17210"
"1472404","7017"
"1476891","548"
"1478887","385"
"1480750","340"
"1481940","1116"
"1483595","1804"
"1485419","2185"
"1486673","478"
"1487738","570"
"1492878","3408"
"1496549","679"
"1497311","156"
"1498306","282"
"1499283","466"
"1503947","2549"
"1504097","561"
"1508431","8660"
"1508705","277"
"1515823","737"
"1521189","1586"
"1522127","1018"
"1528012","10409"
"1530797","1030"
"1534489","1073"
"1536035","331"
"1537478","832"
"1539263","4463"
"1540801","448"
"1543753","1712"
"1549442","6602"
"1550947","6774"
"1551070","854"
"1551463","3331"
"1552060","414"
"1556554","27534"
"1558287","285"
"1558392","228"
"1559705","1872"
"1559892","668"
"1559915","15557"
"1560875","354"
"1562548","2291"
"1563438","19885"
"1566623","1211"
"1573468","575"
"1574958","683"
"1575516","477"
"1577514","7652"
"1580720","4843"
"1582738","176"
"1586602","1228"
"1588126","1127"
"1595013","11045"
"1596723","1305"
"1597727","1410"
"1598231","85132"
"1602880","393"
"1602901","4973"
"1603801","1432"
"1606093","2194"
"1606494","233"
"1608703","239"
"1617390","178"
"1619117","108"
"1619418","1643"
"1623230","111"
"1623958","1730"
"1629075","206"
"1631406","190"
"1633173","519"
"1634425","1744"
"1638434","414"
"1642598","5164"
"1645007","34328"
"1646274","9414"
"1650780","378"
"1651442","9766"
"1656426","512"
"1657322","68"
"1675229","437"
"1677195","1233"
"1679296","6097"
"1688484","1543"
"1688568","2219"
"1688626","1074"
"1691229","411"
"1695014","1166"
"1702415","713"
"1704264","2800"
"1705054","1605"
"1706613","50374"
"1707062","680"
"1721078","779"
"1722908","2260"
"1725263","235"
"1726406","174"
"1732182","195"
"1734469","2672"
"1735374","9975"
"1735572","266"
"1736161","2217"
"1737199","2371"
"1738715","1477"
"1741160","22382"
"1742214","386"
"1745440","1342"
"1745743","7847"
"1746438","257"
"1747179","11166"
"1748500","5007"
"1753726","9617"
"1754004","3904"
"1755743","64"
"1757341","2186"
"1757618","2319"
"1760458","447"
"1761155","1326"
