id,view_count
"2525","138810"
"2970","3753"
"5611","6664"
"10731","4526"
"21965","15250"
"23102","11300"
"23713","280"
"28965","1886"
"32333","993"
"34896","12232"
"36296","684"
"38846","8661"
"39772","3961"
"41169","10930"
"43992","6351"
"49473","4077"
"51094","25178"
"55010","266"
"55572","698"
"58679","1360"
"59656","8925"
"60757","2776"
"61057","202"
"64469","3954"
"64631","5213"
"65734","5925"
"65879","22239"
"70170","898"
"71756","2879"
"72166","10675"
"76210","2016"
"76581","1128"
"87431","403"
"93771","353"
"97614","12525"
"97984","209956"
"99001","5268"
"106001","2293"
"107566","3078"
"108088","13301"
"110575","66671"
"113090","4547"
"113423","3107"
"116415","1152"
"117129","3120"
"119926","3695"
"120116","5902"
"121504","2730"
"125438","15771"
"130585","259"
"131902","1700"
"133549","565"
"134658","4116"
"137212","143122"
"138175","3791"
"138705","6878"
"141203","39772"
"142431","1156"
"142722","1147"
"143750","26673"
"148964","1949"
"153416","1779"
"154844","4753"
"157924","4626"
"158257","3402"
"159114","440"
"162031","617"
"162159","130926"
"162915","1461"
"172486","30372"
"173329","294057"
"173727","7583"
"173875","3548"
"175309","132"
"176195","1366"
"178479","324063"
"180870","91248"
"181130","5878"
"184265","1441"
"185149","600"
"187736","42496"
"193002","1322"
"195648","14081"
"196177","2374"
"197621","223"
"198462","153809"
"204440","1571"
"206276","1452"
"206318","46029"
"210490","1085"
"211099","4859"
"214431","4770"
"220437","13056"
"225475","509"
"228577","285"
"231204","1793"
"231592","2227"
"239905","4392"
"241953","1226"
"242976","955"
"243995","1844"
"244283","1954"
"245600","20297"
"247110","20035"
"247304","329630"
"249318","4668"
"252156","13556"
"253724","969"
"258299","63203"
"258889","431"
"258994","5305"
"259534","3430"
"260664","5484"
"268182","2013"
"269253","5357"
"271090","18505"
"272409","3409"
"272503","495557"
"272806","1442"
"273652","350"
"274560","156095"
"275824","19594"
"276832","51836"
"278571","7654"
"284163","460"
"285400","3655"
"290630","1485"
"295436","8252"
"295628","12043"
"300933","1146"
"301024","11867"
"301557","820"
"301948","196"
"302279","22388"
"302357","2281"
"302893","682"
"303028","1772"
"305044","25000"
"306668","27265"
"308406","5620"
"308980","2317"
"312621","1168"
"315171","758"
"316367","1046"
"316390","18504"
"319634","3064"
"320477","957"
"321061","4263"
"325587","1578"
"326818","117286"
"327512","5480"
"335677","316"
"335888","5016"
"336057","131206"
"341271","7177"
"341956","254"
"342245","8433"
"343078","6509"
"346826","498"
"347945","2562"
"348109","72988"
"354472","394"
"356116","510"
"356562","18498"
"357491","4327"
"360838","856"
"362401","695"
"365095","258"
"365495","1322"
"368329","4677"
"371928","162"
"372933","2014"
"374748","877"
"376071","1973"
"382113","9990"
"386374","12754"
"390359","216"
"396324","3984"
"398179","2982"
"403174","299200"
"407771","1744"
"407977","4658"
"407990","456"
"409807","3701"
"411410","1933"
"412440","872"
"413279","237"
"419738","1445"
"420854","1615"
"421848","183"
"431698","1750"
"437146","26556"
"444181","11782"
"446551","2272"
"448963","72934"
"454368","9654"
"454497","16210"
"457014","3835"
"457193","18508"
"458647","1454"
"459614","4148"
"461650","13201"
"465180","1078"
"466737","16244"
"468288","175542"
"470382","138"
"481743","9932"
"483018","792"
"484068","936"
"485023","20284"
"487332","175"
"487876","1466"
"489552","628"
"490920","8018"
"491930","307"
"493909","296"
"496152","578"
"498234","3549"
"503220","1615"
"503967","220"
"505606","822"
"511396","5190"
"514307","1269"
"516802","9291"
"518635","3765"
"524676","2311"
"524778","1916"
"524908","2666"
"536739","5956"
"537103","1027"
"537596","49252"
"537989","2414"
"541517","2402"
"546513","203"
"553485","319"
"553545","156"
"557746","2290"
"557979","2908"
"558308","3705"
"558330","1805"
"562833","155"
"563717","3750"
"564221","5284"
"569870","930"
"569871","2675"
"572723","12073"
"579130","3126"
"581655","1748"
"587301","7832"
"588803","704"
"588855","830"
"590298","1980"
"593086","1529"
"595936","11002"
"596004","1379"
"597142","889"
"597175","2511"
"598844","96"
"598949","802"
"600349","137"
"603230","314"
"603271","980"
"604550","1409"
"604634","20401"
"608112","1504"
"611915","6243"
"613233","4741"
"613680","819"
"615280","695"
"616421","351"
"616662","789"
"617714","340"
"617833","952"
"620438","489"
"622459","4771"
"625768","7250"
"627353","2866"
"636172","3463"
"636947","6829"
"637496","2700"
"639034","934"
"641368","6066"
